gender,race/ethnicity,,,test preparation course,math score,reading score,writing score,,target
female,group D,,,completed,59,70,78,,0
male,group D,,,none,96,93,87,,1
female,group D,,,none,57,76,77,,0
male,group B,,,none,70,70,63,,1
female,group D,,,none,83,85,86,,1
male,group C,,,none,68,57,54,,0
female,group E,,,none,82,83,80,,1
female,group B,,,none,46,61,58,,0
male,group C,,,none,80,75,73,,1
female,group C,,,completed,57,69,77,,0
male,group B,,,none,74,69,69,,1
male,group B,,,none,53,50,49,,0
male,group B,,,none,76,74,76,,1
male,group A,,,none,70,73,70,,1
male,group C,,,none,55,54,52,,0
male,group E,,,none,56,46,43,,0
female,group C,,,none,35,47,41,,0
female,group C,,,none,87,92,81,,1
female,group E,,,none,80,82,85,,1
female,group D,,,completed,65,71,74,,1
male,group C,,,none,66,66,62,,1
female,group D,,,completed,67,71,76,,1
female,group B,,,none,70,71,71,,1
male,group E,,,none,89,88,86,,1
male,group D,,,completed,99,85,88,,1
male,group B,,,none,74,83,72,,1
male,group D,,,none,58,52,51,,0
male,group D,,,none,70,66,59,,0
female,group E,,,none,80,79,71,,1
male,group D,,,none,90,87,86,,1
female,group B,,,completed,80,81,85,,1
female,group D,,,none,68,76,79,,1
female,group B,,,completed,69,78,75,,1
female,group D,,,none,32,35,37,,0
male,group D,,,completed,82,82,82,,1
female,group A,,,none,57,53,54,,0
female,group E,,,none,69,74,75,,
male,group D,,,completed,68,66,72,,
male,group C,,,completed,74,85,87,,
male,group E,,,none,89,85,78,,
male,group C,,,completed,46,46,48,,
male,group C,,,completed,76,82,77,,
male,group B,,,none,86,82,72,,
male,group D,,,none,69,73,67,,
female,group B,,,none,52,56,54,,
male,group C,,,none,63,71,65,,
male,group A,,,completed,96,82,90,,
male,group C,,,completed,80,76,68,,
female,group E,,,none,59,52,56,,
male,group D,,,completed,80,77,80,,
female,group E,,,completed,65,77,74,,
female,group E,,,completed,74,83,84,,
male,group D,,,none,90,93,84,,
female,group B,,,completed,69,72,72,,
male,group C,,,none,69,67,63,,
female,group C,,,none,62,64,61,,
female,group D,,,none,67,75,80,,
female,group E,,,completed,89,93,93,,
female,group C,,,none,79,86,78,,
male,group C,,,none,67,66,66,,
male,group D,,,completed,82,74,75,,
male,group C,,,completed,63,69,63,,
female,group D,,,none,71,83,80,,
female,group C,,,none,55,68,73,,
female,group B,,,none,61,74,71,,
female,group B,,,none,35,34,36,,
male,group C,,,none,75,77,66,,
female,group B,,,completed,73,91,88,,
female,group C,,,none,56,62,57,,
male,group D,,,none,80,70,73,,
male,group C,,,completed,83,81,78,,
female,group D,,,completed,64,82,80,,
female,group C,,,none,23,33,33,,
female,group D,,,completed,41,58,59,,
male,group E,,,completed,61,49,52,,
male,group B,,,none,63,46,46,,
male,group B,,,completed,84,91,89,,
male,group C,,,none,55,61,59,,
male,group A,,,completed,85,75,74,,
male,group B,,,none,65,61,57,,
male,group C,,,none,88,80,81,,
male,group D,,,completed,91,93,95,,
female,group A,,,none,51,46,42,,
male,group C,,,completed,73,77,76,,
female,group D,,,none,73,89,89,,
male,group D,,,none,100,97,91,,
female,group D,,,completed,48,68,68,,
male,group E,,,none,98,79,85,,
male,group B,,,none,68,65,60,,
male,group C,,,none,64,62,58,,
male,group C,,,completed,72,67,61,,
female,group C,,,none,63,74,75,,
male,group C,,,none,43,51,38,,
male,group D,,,none,80,75,74,,
female,group C,,,none,71,88,83,,
female,group C,,,completed,91,96,97,,
female,group D,,,completed,68,84,87,,
female,group B,,,none,73,80,78,,
female,group B,,,completed,75,90,95,,
male,group C,,,none,83,62,64,,
male,group D,,,none,88,72,74,,
male,group C,,,none,59,50,53,,
male,group D,,,none,74,69,63,,
female,group C,,,none,43,58,60,,
female,group C,,,none,76,90,84,,
female,group D,,,none,74,75,74,,
female,group B,,,completed,69,76,72,,
female,group B,,,none,62,78,74,,
male,group C,,,completed,61,58,56,,
male,group E,,,none,88,81,77,,
female,group D,,,completed,64,84,83,,
female,group B,,,none,65,79,73,,
female,group C,,,completed,73,86,89,,
female,group C,,,completed,50,64,63,,
female,group B,,,completed,63,72,78,,
female,group E,,,none,98,95,100,,
female,group E,,,none,90,96,88,,
male,group C,,,completed,64,71,68,,
female,group B,,,none,38,55,52,,
female,group B,,,none,84,91,93,,
male,group D,,,completed,81,74,79,,
male,group D,,,none,82,84,81,,
female,group D,,,completed,64,67,75,,
female,group B,,,none,55,60,67,,
female,group D,,,completed,59,78,80,,
female,group E,,,none,83,90,88,,
male,group B,,,completed,76,79,80,,
female,group D,,,completed,83,95,97,,
female,group C,,,none,69,75,75,,
female,group C,,,none,43,65,60,,
female,group C,,,none,52,65,60,,
female,group C,,,none,56,58,55,,
male,group D,,,completed,47,46,51,,
male,group D,,,none,71,61,63,,
female,group C,,,completed,66,70,83,,
male,group C,,,none,81,65,60,,
female,group E,,,none,85,90,88,,
female,group E,,,none,76,77,77,,
female,group D,,,none,50,66,66,,
male,group C,,,none,76,81,74,,
male,group C,,,none,65,64,61,,
female,group D,,,none,59,69,64,,
male,group C,,,none,84,77,80,,
male,group E,,,none,85,77,78,,
female,group D,,,none,61,56,60,,
female,group A,,,completed,73,79,81,,
male,group D,,,none,82,77,72,,
female,group E,,,none,75,70,71,,
male,group C,,,none,91,83,82,,
female,group C,,,none,67,78,80,,
male,group D,,,completed,62,69,67,,
male,group B,,,none,61,56,52,,
female,group C,,,none,66,77,80,,
male,group A,,,none,59,57,51,,
male,group E,,,none,88,76,81,,
female,group B,,,none,67,73,74,,
female,group B,,,completed,91,99,100,,
male,group C,,,completed,87,82,79,,
male,group B,,,completed,83,79,80,,
female,group D,,,none,70,79,76,,
male,group E,,,none,83,83,78,,
male,group C,,,none,49,53,47,,
male,group D,,,completed,65,60,57,,
male,group B,,,completed,50,56,55,,
male,group A,,,none,62,58,57,,
male,group E,,,none,56,50,50,,
female,group C,,,none,44,49,53,,
female,group E,,,none,63,72,60,,
male,group D,,,completed,72,69,74,,
female,group D,,,completed,64,77,77,,
female,group B,,,completed,61,75,82,,
male,group D,,,none,82,72,69,,
female,group A,,,completed,57,68,74,,
male,group E,,,none,43,45,38,,
male,group D,,,none,69,56,59,,
female,group D,,,none,62,71,74,,
female,group B,,,none,60,73,68,,
male,group E,,,none,81,70,70,,
female,group C,,,completed,68,84,87,,
male,group C,,,none,65,63,57,,
female,group B,,,none,59,72,67,,
female,group B,,,none,81,89,86,,
male,group A,,,none,84,85,87,,
female,group A,,,completed,56,68,70,,
male,group B,,,completed,71,75,73,,
female,group D,,,none,93,98,94,,
female,group C,,,none,77,81,85,,
male,group C,,,none,50,40,44,,
female,group D,,,none,75,75,78,,
female,group C,,,none,64,82,80,,
male,group C,,,none,77,65,69,,
female,group A,,,completed,64,81,87,,
male,group B,,,none,71,63,55,,
male,group D,,,completed,58,57,53,,
female,group D,,,none,47,66,66,,
male,group D,,,none,57,63,54,,
male,group C,,,completed,82,89,86,,
female,group B,,,none,53,61,59,,
female,group C,,,completed,89,98,99,,
female,group E,,,completed,89,94,94,,
female,group A,,,completed,75,97,92,,
male,group D,,,none,62,61,57,,
female,group B,,,none,63,76,67,,
male,group E,,,none,100,91,85,,
female,group B,,,none,62,81,77,,
female,group B,,,none,75,95,94,,
male,group C,,,none,51,56,53,,
male,group E,,,none,74,67,67,,
male,group C,,,none,66,66,58,,
male,group C,,,completed,52,59,59,,
male,group E,,,none,69,56,56,,
female,group E,,,completed,46,57,57,,
female,group E,,,none,74,77,73,,
male,group B,,,none,100,90,88,,
male,group A,,,none,83,77,77,,
male,group D,,,completed,82,78,90,,
female,group D,,,none,58,66,70,,
male,group A,,,completed,59,55,58,,
female,group D,,,none,77,90,82,,
female,group E,,,none,61,61,57,,
male,group C,,,none,85,81,80,,
female,group E,,,completed,59,68,68,,
female,group C,,,completed,71,92,93,,
female,group E,,,none,52,71,70,,
female,group D,,,none,62,62,68,,
male,group B,,,none,47,48,49,,
male,group D,,,completed,96,92,88,,
female,group E,,,none,48,60,57,,
male,group C,,,none,20,25,15,,
female,group C,,,none,70,75,76,,
male,group B,,,completed,59,62,58,,
female,group E,,,none,80,80,83,,
female,group B,,,none,83,88,90,,
male,group C,,,none,75,71,76,,
male,group D,,,completed,73,68,72,,
female,group C,,,none,78,78,82,,
male,group B,,,completed,94,82,93,,
female,group B,,,completed,46,63,66,,
male,group D,,,completed,77,77,77,,
male,group B,,,none,63,56,47,,
male,group B,,,completed,64,70,72,,
female,group D,,,none,60,69,70,,
female,group D,,,none,74,79,73,,
female,group B,,,none,67,77,81,,
male,group C,,,completed,78,81,80,,
male,group C,,,completed,88,75,72,,
female,group C,,,completed,52,64,66,,
male,group C,,,none,88,66,73,,
male,group A,,,completed,78,88,85,,
female,group C,,,none,55,62,61,,
female,group C,,,none,71,69,73,,
male,group C,,,none,75,79,68,,
male,group B,,,completed,62,60,55,,
female,group B,,,completed,66,73,72,,
male,group D,,,none,39,45,36,,
male,group B,,,none,85,80,73,,
female,group B,,,none,46,57,53,,
male,group C,,,completed,57,64,66,,
female,group B,,,completed,65,78,81,,
male,group C,,,none,86,82,72,,
male,group C,,,none,59,50,41,,
female,group D,,,completed,49,69,68,,
male,group B,,,none,51,50,44,,
female,group A,,,none,53,57,60,,
female,group C,,,none,82,84,83,,
female,group C,,,none,51,68,66,,
female,group D,,,none,74,79,79,,
female,group D,,,none,73,72,75,,
female,group D,,,none,42,61,63,,
female,group C,,,completed,41,59,56,,
female,group C,,,none,84,88,84,,
female,group D,,,completed,64,66,62,,
female,group E,,,none,74,88,75,,
male,group C,,,none,91,84,77,,
male,group D,,,none,67,72,65,,
female,group B,,,none,54,56,59,,
female,group D,,,none,44,39,37,,
female,group C,,,completed,65,84,86,,
male,group A,,,none,37,40,36,,
female,group A,,,none,58,75,78,,
female,group C,,,none,69,78,78,,
male,group C,,,none,64,56,51,,
female,group C,,,none,70,63,63,,
female,group B,,,none,55,68,66,,
female,group B,,,completed,45,63,67,,
male,group E,,,completed,80,70,71,,
male,group A,,,none,77,73,69,,
male,group B,,,none,57,54,44,,
female,group C,,,none,67,72,72,,
female,group A,,,none,68,70,72,,
male,group C,,,none,49,53,43,,
female,group D,,,none,42,48,42,,
female,group E,,,none,96,93,100,,
female,group C,,,none,55,56,54,,
male,group D,,,none,70,65,56,,
male,group C,,,none,51,53,51,,
female,group B,,,completed,27,49,50,,
male,group D,,,none,60,54,47,,
female,group B,,,none,44,56,47,,
female,group C,,,completed,63,73,74,,
female,group C,,,none,72,77,75,,
female,group D,,,none,82,77,80,,
female,group B,,,completed,82,85,99,,
female,group A,,,none,70,82,83,,
male,group E,,,completed,76,61,61,,
female,group C,,,completed,62,68,74,,
female,group B,,,none,58,62,54,,
female,group A,,,none,61,73,70,,
male,group B,,,completed,88,82,82,,
female,group C,,,none,61,64,54,,
male,group D,,,completed,88,77,78,,
male,group E,,,none,57,45,46,,
female,group D,,,completed,92,95,93,,
male,group C,,,none,80,79,73,,
male,group A,,,none,62,54,52,,
female,group D,,,none,71,74,80,,
female,group D,,,none,54,58,63,,
male,group A,,,none,43,43,40,,
female,group C,,,none,51,57,60,,
male,group C,,,none,57,46,44,,
male,group C,,,completed,62,71,62,,
female,group B,,,none,48,59,55,,
male,group C,,,completed,61,69,62,,
female,group D,,,completed,94,91,98,,
male,group B,,,none,44,45,41,,
female,group C,,,none,56,71,70,,
male,group D,,,none,68,69,55,,
male,group D,,,none,61,53,48,,
female,group C,,,completed,49,68,67,,
female,group D,,,none,71,71,76,,
female,group E,,,none,78,86,80,,
male,group D,,,none,74,70,63,,
male,group C,,,none,66,63,63,,
male,group C,,,none,61,56,53,,
male,group D,,,none,59,45,44,,
female,group B,,,none,49,65,62,,
female,group B,,,none,61,68,67,,
female,group C,,,completed,54,57,63,,
female,group B,,,completed,45,61,63,,
female,group D,,,completed,81,96,99,,
female,group B,,,none,71,87,87,,
male,group B,,,none,67,60,61,,
female,group D,,,none,56,53,58,,
female,group B,,,completed,60,66,64,,
male,group D,,,none,95,86,83,,
male,group B,,,none,60,59,53,,
male,group B,,,none,60,55,52,,
male,group B,,,none,82,68,69,,
male,group B,,,none,78,68,70,,
female,group C,,,none,57,67,64,,
male,group A,,,none,72,77,67,,
female,group B,,,none,37,51,43,,
male,group C,,,none,72,76,64,,
male,group B,,,none,52,57,49,,
male,group A,,,completed,80,72,72,,
male,group D,,,none,89,78,76,,
female,group C,,,completed,84,88,87,,
female,group B,,,none,67,73,76,,
female,group B,,,completed,59,75,79,,
male,group C,,,completed,95,85,80,,
female,group B,,,none,71,68,68,,
female,group C,,,none,72,76,74,,
male,group E,,,completed,83,80,82,,
male,group E,,,none,94,86,82,,
male,group B,,,completed,58,57,58,,
male,group C,,,completed,75,62,65,,
female,group B,,,none,65,83,77,,
female,group C,,,completed,68,78,83,,
female,group C,,,none,34,44,43,,
male,group E,,,none,97,96,89,,
female,group D,,,none,44,47,55,,
male,group D,,,completed,60,57,60,,
female,group C,,,completed,66,81,75,,
male,group E,,,none,96,94,93,,
female,group B,,,none,39,60,52,,
male,group C,,,none,56,57,62,,
male,group C,,,none,31,27,19,,
female,group C,,,completed,74,79,84,,
male,group D,,,completed,100,100,100,,
female,group A,,,completed,68,75,73,,
female,group C,,,completed,79,89,96,,
male,group E,,,none,62,69,60,,
female,group A,,,none,72,85,81,,
female,group C,,,none,66,78,75,,
male,group C,,,completed,64,66,69,,
female,group C,,,none,62,64,64,,
female,group E,,,completed,68,82,86,,
male,group C,,,completed,70,75,74,,
female,group E,,,none,63,61,64,,
female,group D,,,completed,91,100,100,,
female,group D,,,none,58,62,63,,
male,group E,,,none,75,66,59,,
female,group C,,,none,44,55,61,,
female,group C,,,none,68,64,64,,
male,group C,,,none,65,61,57,,
female,group D,,,completed,66,71,87,,
male,group C,,,none,73,69,70,,
female,group B,,,none,67,76,76,,
female,group C,,,none,66,73,69,,
male,group E,,,none,81,78,68,,
male,group E,,,none,77,62,57,,
female,group D,,,none,43,48,53,,
female,group C,,,none,58,70,72,,
male,group C,,,none,65,77,70,,
male,group C,,,none,92,89,83,,
male,group D,,,completed,56,48,54,,
female,group D,,,none,65,73,77,,
male,group D,,,none,72,67,59,,
male,group D,,,completed,100,84,87,,
female,group C,,,none,69,81,70,,
male,group D,,,completed,70,66,68,,
male,group E,,,none,90,80,78,,
male,group C,,,none,90,79,75,,
female,group D,,,completed,63,78,74,,
female,group D,,,none,40,51,51,,
female,group A,,,none,64,72,66,,
male,group C,,,none,90,76,71,,
male,group C,,,none,76,74,73,,
male,group B,,,none,42,48,33,,
female,group D,,,completed,45,68,71,,
male,group D,,,none,76,65,70,,
male,group C,,,completed,63,69,68,,
male,group E,,,completed,84,77,79,,
female,group A,,,none,62,75,73,,
female,group C,,,completed,69,76,82,,
male,group C,,,none,77,79,76,,
male,group D,,,none,63,65,58,,
male,group C,,,completed,72,67,67,,
male,group E,,,none,75,68,68,,
female,group C,,,none,61,66,71,,
female,group A,,,none,79,97,85,,
female,group D,,,none,53,66,64,,
male,group B,,,completed,77,68,66,,
male,group A,,,none,44,49,43,,
male,group B,,,none,44,50,37,,
female,group C,,,completed,71,84,88,,
female,group B,,,completed,60,65,67,,
male,group B,,,none,49,39,33,,
female,group A,,,completed,82,95,93,,
male,group E,,,none,68,70,62,,
female,group D,,,none,58,63,65,,
female,group B,,,none,65,68,67,,
male,group C,,,none,50,42,35,,
female,group D,,,completed,73,72,79,,
male,group D,,,completed,40,50,47,,
female,group C,,,completed,60,67,74,,
male,group C,,,none,57,58,51,,
male,group C,,,none,57,60,57,,
female,group B,,,none,83,86,89,,
male,group C,,,none,68,56,57,,
male,group D,,,none,74,76,73,,
male,group B,,,none,76,68,70,,
female,group C,,,none,38,45,44,,
female,group C,,,none,63,64,59,,
male,group E,,,none,87,79,72,,
male,group E,,,none,81,84,78,,
female,group D,,,none,84,90,90,,
female,group E,,,completed,68,69,71,,
female,group A,,,none,57,70,71,,
female,group C,,,none,75,82,81,,
female,group C,,,none,39,50,41,,
female,group D,,,completed,54,77,78,,
male,group D,,,none,71,73,69,,
male,group A,,,none,58,64,55,,
female,group D,,,none,61,70,73,,
female,group D,,,completed,82,85,94,,
female,group D,,,completed,73,87,83,,
female,group D,,,none,52,66,63,,
male,group B,,,none,33,47,32,,
male,group D,,,completed,67,68,69,,
female,group B,,,none,61,80,82,,
female,group E,,,completed,86,89,96,,
male,group D,,,completed,98,96,100,,
male,group C,,,completed,72,56,63,,
male,group B,,,none,60,59,52,,
male,group C,,,none,66,68,62,,
male,group C,,,completed,86,89,87,,
female,group B,,,none,45,52,51,,
female,group C,,,none,75,86,84,,
female,group A,,,none,51,69,65,,
female,group C,,,none,21,30,26,,
male,group D,,,none,54,53,47,,
male,group D,,,none,83,78,74,,
male,group B,,,none,74,79,65,,
male,group C,,,none,73,67,73,,
male,group D,,,completed,69,70,75,,
female,group C,,,none,81,93,94,,
male,group E,,,completed,95,90,89,,
male,group E,,,completed,97,88,81,,
female,group C,,,completed,62,68,75,,
male,group C,,,none,63,57,59,,
female,group D,,,completed,50,72,70,,
female,group D,,,none,25,33,32,,
male,group D,,,none,73,67,64,,
male,group D,,,completed,57,58,54,,
male,group C,,,none,64,62,61,,
female,group E,,,none,86,89,87,,
female,group D,,,none,62,65,69,,
